;ANO;NUTS_III;CODIGO_CONCELHO;Concelho;zona rqs;saifi at num;saidi at min;maifi at num;tiepi mt min;end mt mwh;saifi mt num;saidi mt min;maifi mt num;saifi bt num;saidi bt min;ligacao_auxiliar_mapa;codigo_concelho_sem_digitos;distrito
9303;2015;Beiras e Serra da Estrela;904;Figueira de Castelo Rodrigo;Zona C;0;0;2;35,8791;1,51035;0,852941;41,1543;29,8603;1,11818;61,3717;1;9;Guarda
9304;2015;Região de Leiria;1003;Ansião;Zona C;0;0;0;142,558;12,4165;2,40172;166,403;15,688;2,63059;190,251;1;10;Leiria
9305;2015;Médio Tejo;510;Vila de Rei;Zona B;0;0;0;0;0;0;0;0;0;0;1;5;Castelo Branco
9306;2015;Alentejo Litoral;1509;Santiago do Cacém;Zona B;0;0;0;50,9601;5,1426;2,298;52,193;22,5182;1,69327;33,5147;1;15;Setúbal
9307;2015;Área Metropolitana do Porto;1304;Gondomar;Concelho;0;0;0;15,6116;13,2272;0,418527;19,3878;2,63026;0,479554;24,3267;1;13;Porto
9308;2015;Região de Coimbra;608;Mira;Concelho;0;0;0;116,928;7,0354;3,50718;101,519;10,1203;4,79917;150,705;1;6;Coimbra
9309;2015;Alto Alentejo;1205;Castelo de Vide;Zona A;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
9310;2015;Médio Tejo;1402;Alcanena;Zona A;0;0;0;0;0;0;0;0;0;0;1;14;Santarém
9311;2015;Área Metropolitana de Lisboa;1507;Montijo;Concelho;0;0;0;33,7591;13,4966;1,34606;38,3063;13,308;0,739588;17,05;1;15;Setúbal
9312;2015;Beira Baixa;506;Oleiros;Concelho;0;0;0;117,703;4,81371;1,78363;115,43;16,7602;2,068;143,214;1;5;Castelo Branco
9313;2015;Douro;1820;Tarouca;Concelho;0;0;4;37,5876;1,2127;1,04085;57,2583;16,7307;1,2301;78,4871;1;18;Viseu
9314;2015;Região de Aveiro;105;Aveiro;Zona A;0;0;0;36,6976;14,8257;0,864875;39,4413;7,10939;0,977313;39,7024;1;1;Aveiro
9315;2015;Alentejo Litoral;1513;Sines;Concelho;0;0;0,25;120,394;24,2269;2,9818;195,176;21,6435;1,52752;67,8059;1;15;Setúbal
9316;2015;Alto Tâmega;1702;Boticas;Zona A;0;0;0;0;0;0;0;0;0;0;1;17;Vila Real
9317;2015;Algarve;811;Portimão;Concelho;0;0;0;88,6045;46,5636;2,77115;87,1472;9,04351;3,00747;97,5189;1;8;Faro
9318;2015;Douro;1807;Moimenta da Beira;Zona A;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9319;2015;Beira Baixa;508;Proença-a-Nova;Zona A;0;0;0;0;0;0;0;0;0;0;1;5;Castelo Branco
9320;2015;Alentejo Central;708;Mourão;Concelho;0;0;0;28,9658;1,26449;0,816667;31,4667;13,3583;0,465365;22,4456;1;7;Évora
9321;2015;Douro;1707;Murça;Concelho;0;0;0;208,074;6,28718;6,55294;216,278;20,1814;6,84077;235,55;1;17;Vila Real
9322;2015;Tâmega e Sousa;1302;Baião;Zona B;0;0;0;0;0;0;0;0;0;0;1;13;Porto
9323;2015;Região de Aveiro;101;Águeda;Zona A;0;0;0;0;0;0;0;0;0;0;1;1;Aveiro
9324;2015;Oeste;1005;Bombarral;Zona B;0;0;0;21,139;0,673968;1,26248;20,8383;6,46221;1,05165;8,73996;1;10;Leiria
9325;2015;Baixo Alentejo;208;Ferreira do Alentejo;Zona B;0;0;0;67,8721;4,09122;1,8567;67,7837;26,0876;2,56789;114,602;1;2;Beja
9326;2015;Algarve;816;Vila Real de Santo António;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
9327;2015;Viseu Dão Lafões;1817;Sátão;Zona B;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9328;2015;Alentejo Central;705;Évora;Concelho;0;0;0;64,3173;31,0624;1,37065;66,5152;13,0888;1,53794;68,4309;1;7;Évora
9329;2015;Douro;1807;Moimenta da Beira;Concelho;0;0;0,5;61,514;3,95202;0,956778;47,7505;7,99128;1,23692;64,6657;1;18;Viseu
9330;2015;Alentejo Central;713;Viana do Alentejo;Zona B;0;0;0;0;0;0;0;0;0;0;1;7;Évora
9331;2015;Alto Alentejo;1207;Elvas;Concelho;0;0;0;59,2487;12,9656;1,42551;86,4896;20,5121;0,99555;56,9334;1;12;Portalegre
9332;2015;Douro;409;Torre de Moncorvo;Concelho;0;0;0;55,3341;4,72094;2,14273;103,238;23,6636;2,47744;145,482;1;4;Bragança
9333;2015;Viseu Dão Lafões;1811;Penalva do Castelo;Zona B;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9334;2015;Alto Minho;1603;Melgaço;Zona B;0;0;0;0;0;0;0;0;0;0;1;16;Viana do Castelo
9335;2015;Área Metropolitana de Lisboa;1507;Montijo;Zona A;0;0;0;0;0;0;0;0;0;0;1;15;Setúbal
9336;2015;Alto Alentejo;1203;Avis;Zona C;0;0;0;78,0795;5,37185;3,32739;98,6083;21,7294;2,71892;55,5648;1;12;Portalegre
9337;2015;Área Metropolitana do Porto;1308;Matosinhos;Zona B;0;0;0;40,6133;48,2027;0,900177;42,4778;1,76952;0,902069;40,5503;1;13;Porto
9338;2015;Médio Tejo;1411;Ferreira do Zêzere;Zona C;0;0;0;58,4163;4,14243;1,88957;54,2458;8,23926;2,20855;73,9309;1;14;Santarém
9339;2015;Médio Tejo;1421;Ourém;Zona A;0;0;0;0;0;0;0;0;0;0;1;14;Santarém
9340;2015;Médio Tejo;1419;Torres Novas;Zona B;0;0;0;64,2386;8,14731;0,966194;61,0061;3,58477;1,58432;136,862;1;14;Santarém
9341;2015;Viseu Dão Lafões;1824;Vouzela;Zona B;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9342;2015;Região de Aveiro;112;Murtosa;Zona A;0;0;0;0;0;0;0;0;0;0;1;1;Aveiro
9343;2015;Alto Alentejo;1209;Gavião;Zona B;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
9344;2015;Área Metropolitana de Lisboa;1510;Seixal;Zona B;0;0;0;48,2373;19,7667;0,875689;51,1158;0,941498;1,08494;46,777;1;15;Setúbal
9345;2015;Região de Leiria;1004;Batalha;Concelho;0;0;0;55,7787;7,25987;1,47882;63,8846;15,2718;1,59331;92,1717;1;10;Leiria
9346;2015;Alentejo Central;702;Arraiolos;Concelho;0;0;0;110,004;7,59562;7,75796;132,524;27,6721;7,72731;107,101;1;7;Évora
9347;2015;Terras de Trás-os-Montes;407;Mirandela;Concelho;0;0;0;54,7503;7,73307;1,82204;68,7736;30,7609;1,42051;57,3324;1;4;Bragança
9348;2015;Tâmega e Sousa;1311;Penafiel;Zona A;0;0;0;0;0;0;0;0;0;0;1;13;Porto
9349;2015;Douro;1701;Alijó;Zona A;0;0;0;0;0;0;0;0;0;0;1;17;Vila Real
9350;2015;Área Metropolitana do Porto;1318;Trofa;Zona C;0;0;0;51,2977;5,29099;1,26672;62,8977;11,4072;1,31871;81,1529;1;13;Porto
9351;2015;Alentejo Central;711;Reguengos de Monsaraz;Zona A;0;0;0;0;0;0;0;0;0;0;1;7;Évora
9352;2015;Alentejo Central;704;Estremoz;Zona C;0;0;0;131,846;5,86495;3,97395;155,863;21,3255;3,46002;129,224;1;7;Évora
9353;2015;Ave;308;Guimarães;Zona A;1;137,717;0;37,2102;12,4207;1,26492;42,5894;3,67419;1,24522;43,0658;1;3;Braga
9354;2015;Área Metropolitana do Porto;1318;Trofa;Zona A;0;0;0;0;0;0;0;0;0;0;1;13;Porto
9355;2015;Região de Coimbra;615;Soure;Concelho;0,5;21,0167;0;91,3094;6,69544;1,65028;121,992;9,49829;1,64492;126,451;1;6;Coimbra
9356;2015;Alentejo Central;701;Alandroal;Zona B;0;0;0;0;0;0;0;0;0;0;1;7;Évora
9357;2015;Beira Baixa;508;Proença-a-Nova;Zona C;0;0;1;64,9029;3,08612;2,12418;65,3606;7,63399;2,02129;59,321;1;5;Castelo Branco
9358;2015;Lezíria do Tejo;1414;Rio Maior;Zona A;0;0;0;0;0;0;0;0;0;0;1;14;Santarém
9359;2015;Médio Tejo;1401;Abrantes;Zona A;0;0;0;0;0;0;0;0;0;0;1;14;Santarém
9360;2015;Viseu Dão Lafões;901;Aguiar da Beira;Concelho;0;0;0;128,016;4,73974;1,13;123,665;16,44;1,59309;164,019;1;9;Guarda
9361;2015;Tâmega e Sousa;1303;Felgueiras;Concelho;0;0;0;37,5118;12,0452;0,738861;42,2037;3,29636;0,792146;40,7428;1;13;Porto
